annee,budget,casting_principal,director,duree,genre,langue,nbre_vote,nombre_vote,pays,pegi,popularite_score,release_date_france,scenaristes,score,title
TV Movie,No budget,"Lee H. Katzin,Writer,Gerald Sanford",Lee H. Katzin,1h 40m,Sci-Fi,English,,663,United States,1973,No Popularity Score,"November 9, 1975",Lee H. Katzin,3.7,The Stranger
1931,"$1,433,000 (estimated)","Wesley Ruggles,Writers,Edna Ferber",Wesley Ruggles,2h 3m,"Drama,Western","English,French",,6.9K,United States,Passed,No Popularity Score,"June 26, 1931",Wesley Ruggles,5.8,Cimarron
1940,No budget,"William Wyler,W. Somerset Maugham,Howard Koch",William Wyler,1h 35m,"Crime,Drama,Film-Noir",English,,15K,United States,Not Rated,No Popularity Score,"May 7, 1947",William Wyler,7.5,The Letter
1933,No budget,"Leo McCarey,Writers,Bert Kalmar",Leo McCarey,1h 9m,"Comedy,Musical",English,,63K,United States,Not Rated,No Popularity Score,"March 2, 1934",Leo McCarey,7.7,Duck Soup
1955,No budget,"Hans Lagerkvist,John Wigforss,Gardar Sahlberg",Hans Lagerkvist,0,Comedy,Swedish,,43,Sweden,1h 25m,No Popularity Score,,Hans Lagerkvist,4.8,Ljuset från Lund
1966,"$500,000 (estimated)","Earl Bellamy,Mary Willingham,Willard W. Willingham",Earl Bellamy,1h 26m,"Drama,Western",English,,876,United States,Not Rated,No Popularity Score,"April 1, 1966",Earl Bellamy,6.1,Gunpoint
1955,No budget,"Richard Wilson,N.B. Stone Jr.,Richard Wilson",Richard Wilson,1h 24m,Western,English,,2.3K,United States,Passed,No Popularity Score,"May 2, 1956",Richard Wilson,6.7,Man with the Gun
1980,"$8,400,000 (estimated)","Bob Clark,Writer,Bernard Slade",Bob Clark,2h 1m,"Comedy,Drama",English,,835,Canada,PG,No Popularity Score,"August 5, 1981",Bob Clark,6.2,Tribute
1947,"$1,520,000 (estimated)","Henry Hathaway,Writers,Ben Hecht",Henry Hathaway,1h 39m,"Crime,Drama,Film-Noir",English,,9.5K,United States,Approved,No Popularity Score,"July 23, 1948",Henry Hathaway,7.4,Kiss of Death
2008,No budget,"Tyler Hubby,Jeffrey Schwarz,Stars",Tyler Hubby,0,"Documentary,Short",English,,22,United States,25m,No Popularity Score,,Tyler Hubby,7.7,House of Harrington
1935,"$397,024 (estimated)","James Whale,Writers,Mary Shelley",James Whale,1h 15m,"Drama,Horror,Sci-Fi",English,,53K,United States,Not Rated,No Popularity Score,"June 7, 1935",James Whale,7.8,Bride of Frankenstein
1925,No budget,"Alfred Hitchcock,Oliver Sandys,Eliot Stannard",Alfred Hitchcock,0,"Drama,Romance","None,English",,2.9K,"United Kingdom,Germany",1h 15m,No Popularity Score,"September 1, 2016",Alfred Hitchcock,5.8,The Pleasure Garden
Video,No budget,"Katy Leigh,Stars,John Heffernan",Katy Leigh,18m,"Documentary,Short",English,,53,United States,2006,No Popularity Score,,Katy Leigh,6.4,Pure Venom: The Making of 'Snakes on a Plane'
1960,No budget,"Claude Sautet,Writers,José Giovanni",Claude Sautet,1h 43m,"Crime,Drama,Romance","French,Italian",,4.2K,"France,Italy",Not Rated,No Popularity Score,"March 23, 1960",Claude Sautet,7.5,Classe Tous Risques
TV Movie,No budget,"Pierre-André Boutang,Annie Chevalley,Josée Dayan",Pierre-André Boutang,1h 34m,Documentary,French,,50,France,2008,No Popularity Score,"January 27, 2008",Pierre-André Boutang,6.0,"Jeanne M. - Côté cour, côté coeur"
1932,"$310,607 (estimated)","Tod Browning,Writers,Clarence Aaron 'Tod' Robbins",Tod Browning,1h 4m,"Drama,Horror","English,German,French",,50K,United States,Not Rated,"4,026","October 7, 1932",Tod Browning,7.8,Freaks
1964,"$4,200,000 (estimated)","John Ford,Mari Sandoz,James R. Webb",John Ford,2h 34m,"Drama,History,Western",English,,6.4K,United States,PG,No Popularity Score,"October 30, 1964",John Ford,6.7,Cheyenne Autumn
1976,No budget,"George Stevens Jr.,Theodore Strauss,Stars",George Stevens Jr.,1h 56m,Documentary,English,,176,United States,PG,No Popularity Score,,George Stevens Jr.,7.1,America at the Movies
1935,No budget,"Robert Benchley,Robert Benchley",Robert Benchley,0,"Short,Biography,Comedy",English,,93,United States,25m,No Popularity Score,,Robert Benchley,6.4,David O. Selznick: 'Your New Producer'
2006,"$40,000,000 (estimated)","Frank Marshall,Writers,David DiGilio",Frank Marshall,2h,"Adventure,Drama,Family",English,,68K,United States,PG,No Popularity Score,"April 26, 2006",Frank Marshall,7.3,Eight Below
1970,"£198,000 (estimated)","Peter Hammond,Writer,Bill Naughton",Peter Hammond,1h 41m,Drama,English,,988,United Kingdom,Not Rated,No Popularity Score,"April 14, 1971",Peter Hammond,7.0,Spring and Port Wine
Video,No budget,"Stars,Sandra Bullock,Don Cheadle",Stars,10m,"Documentary,Short",English,,33,United States,2005,No Popularity Score,,Stars,6.3,'Crash' Featurette
1956,"$320,000 (estimated)","Stanley Kubrick,Stanley Kubrick,Jim Thompson",Stanley Kubrick,1h 24m,"Crime,Drama,Film-Noir",English,,97K,United States,Approved,"4,645","October 3, 1956",Stanley Kubrick,7.9,The Killing
2007,"$40,000,000 (estimated)","Colin Strause,Greg Strause,Writers",Colin Strause,1h 34m,"Action,Horror,Sci-Fi",English,,133K,United States,R,"2,084","January 2, 2008",Colin Strause,4.6,Aliens vs. Predator: Requiem
Video Game,No budget,"Stars,Mike Erwin,David Kaye",Stars,0,No kind,English,,0,United States,2005,No Popularity Score,,Stars,0.0,Jampack Vol. 13
1968,"$2,300,000 (estimated)","Roman Polanski,Ira Levin,Roman Polanski",Roman Polanski,2h 17m,"Drama,Horror",English,,234K,United States,Approved,"1,226","October 17, 1968",Roman Polanski,8.0,Rosemary's Baby
Video,No budget,"Joshua L Pearson,Gardner Post,Stars",Joshua L Pearson,Unrated,"Short,Music",English,,44,"United States,Canada",1992,No Popularity Score,,Joshua L Pearson,8.5,EBN: Commercial Entertainment Product
1985,"$15,000,000 (estimated)","Terry Gilliam,Writers,Terry Gilliam",Terry Gilliam,2h 12m,"Drama,Sci-Fi,Thriller",English,,211K,"United Kingdom,United States",R,"2,143","February 20, 1985",Terry Gilliam,7.9,Brazil
2016,No budget,"Brian Heinz,Brian Heinz,Stars",Brian Heinz,0,"Short,Comedy",English,,0,United States,35m,No Popularity Score,,Brian Heinz,0.0,Critics and Creatures
TV Movie,No budget,"Christopher Flynn,Christopher Flynn,Stanley Grabowski",Christopher Flynn,30m,"Adventure,Comedy,Horror",English,,0,United States,1991,No Popularity Score,,Christopher Flynn,0.0,The Epic of Detective Mandy: Book Two - Spoof of the Living Dead
1968,"$114,000 (estimated)","George A. Romero,John A. Russo,George A. Romero",George A. Romero,1h 36m,"Horror,Thriller",English,,139K,United States,Not Rated,"3,928","January 21, 1970",George A. Romero,7.8,Night of the Living Dead
1978,"$325,000 (estimated)","John Carpenter,John Carpenter,Debra Hill",John Carpenter,1h 31m,"Horror,Thriller",English,,306K,United States,R,"1,708",January 1979,John Carpenter,7.7,Halloween
TV Movie,No budget,"Kevin Burns,Stars,Forrest J. Ackerman",Kevin Burns,1h 38m,Documentary,English,,148,United States,1997,No Popularity Score,,Kevin Burns,6.5,To the Galaxy and Beyond with Mark Hamill
TV Movie,No budget,"Vincent Paterson,Keith R. Clarke,Dr. Seuss",Vincent Paterson,1h 30m,"Animation,Biography,Comedy",English,,569,United States,1994,No Popularity Score,,Vincent Paterson,7.1,In Search of Dr. Seuss
1915,No budget,"J.P. McGowan,Frank Howard Clark,Edward T. Matlack",J.P. McGowan,0,"Short,Thriller","None,English",,0,United States,No Pegi,No Popularity Score,,J.P. McGowan,0.0,The Broken Circuit
1990,No budget,"Claude Massot,Claude Massot,Sébastien Régnier",Claude Massot,0,Documentary,"Inuktitut,English,French",,10,France,1h 3m,No Popularity Score,,Claude Massot,7.8,Saumialuk. Le grand gaucher
1967,No budget,"Anthony Buckley,Stars,Phil Haldeman",Anthony Buckley,0,Documentary,English,,0,Australia,56m,No Popularity Score,,Anthony Buckley,0.0,Forgotten Cinema: The Golden Age of Australian Motion Pictures
1952,No budget,"Charles Chaplin,Writer,Charles Chaplin",Charles Chaplin,2h 17m,"Drama,Music,Romance",English,,22K,United States,G,No Popularity Score,"October 31, 1952",Charles Chaplin,8.0,Limelight
1913,"ITL 45,000 (estimated)","Enrico Guazzoni,Henryk Sienkiewicz,Enrico Guazzoni",Enrico Guazzoni,0,"Drama,History","None,Italian",,438,Italy,2h,No Popularity Score,"May 9, 1913",Enrico Guazzoni,6.1,Quo Vadis?
1946,"$3,000,000 (estimated)","Stuart Heisler,Mark Sandrich,Arthur Sheekman",Stuart Heisler,1h 39m,"Comedy,Musical,Romance","English,French,Spanish",,1.6K,United States,Approved,No Popularity Score,"January 12, 1949",Stuart Heisler,6.4,Blue Skies
2016,No budget,"Thomas Doebele,Maarten Schmidt,Angela Dekker",Thomas Doebele,0,Documentary,"Dutch,English,French,Spanish",,12,Netherlands,55m,No Popularity Score,"June 15, 2016",Thomas Doebele,7.4,The Longing of Michael Dudok De Wit
1968,No budget,"George Lucas,George Lucas,Stars",George Lucas,0,"Documentary,Short",English,,235,United States,32m,No Popularity Score,,George Lucas,6.6,Filmmaker
2016,No budget,"Michael Dudok de Wit,Writers,Michael Dudok de Wit",Michael Dudok de Wit,1h 20m,"Animation,Drama,Family",,,38K,"France,Belgium,Japan",PG,No Popularity Score,"May 18, 2016",Michael Dudok de Wit,7.5,The Red Turtle
TV Movie,No budget,"Wayne Isham,Stars,Jason Alexander",Wayne Isham,0,"Animation,Music",English,,0,United States,1994,No Popularity Score,,Wayne Isham,0.0,E! Animation
1930,"$376,000 (estimated)","Clarence Brown,Frances Marion,Eugene O'Neill",Clarence Brown,1h 29m,"Drama,Romance",English,,3.5K,United States,Passed,No Popularity Score,"March 13, 1931",Clarence Brown,6.6,Anna Christie
2010,No budget,"Jérôme Chauvelot,Jérôme Chauvelot,Stars",Jérôme Chauvelot,0,Documentary,French,,0,France,50m,No Popularity Score,"February 5, 2010",Jérôme Chauvelot,0.0,En bonne intelligence
1944,"$2,361,000 (estimated)","George Sidney,Writers,Kenneth Earl",George Sidney,1h 41m,"Comedy,Musical","English,Spanish,French",,1.9K,United States,Passed,No Popularity Score,"December 27, 1946",George Sidney,6.4,Bathing Beauty
1994,No budget,"Eric Rochant,Eric Rochant,Stars",Eric Rochant,2h 18m,"Drama,Thriller","French,English,Hebrew",,1.6K,France,TV-MA,No Popularity Score,"June 1, 1994",Eric Rochant,7.3,The Patriots
1936,"$886,000 (estimated)","George Stevens,Writers,Howard Lindsay",George Stevens,1h 43m,"Comedy,Musical,Romance","English,French",,15K,United States,Passed,No Popularity Score,"September 22, 1937",George Stevens,7.5,Swing Time
1921,No budget,"Edward F. Cline,Buster Keaton,Edward F. Cline",Edward F. Cline,20m,"Short,Action,Comedy","None,English",,3.5K,United States,Not Rated,No Popularity Score,"August 9, 2017",Edward F. Cline,7.6,The 'High Sign'
1955,"$3,337,000 (estimated)","George Sidney,Dorothy Kingsley,Robert E. Sherwood",George Sidney,0,"Adventure,Comedy,Fantasy",English,,698,United States,1h 35m,No Popularity Score,"June 15, 1960",George Sidney,5.7,Jupiter's Darling
2014,"SEK 1,500,000 (estimated)","Johan Asplund,Stars,Maud Adams",Johan Asplund,0,Documentary,"Swedish,English",,12,Sweden,58m,No Popularity Score,,Johan Asplund,7.0,Ann-Margret: Från Valsjöbyn till Hollywood
TV Movie,No budget,"Paul Joyce,Paul Joyce,Stars",Paul Joyce,54m,"Documentary,Biography",English,,100,"United Kingdom,United States",1994,No Popularity Score,,Paul Joyce,7.6,Marlon Brando: Wild One
1921,No budget,"Edward F. Cline,Buster Keaton,Edward F. Cline",Edward F. Cline,21m,"Short,Comedy,Horror","None,English",,3.6K,United States,Unrated,No Popularity Score,"January 18, 1924",Edward F. Cline,6.9,The Haunted House
1966,No budget,"Arthur Penn,Writers,Horton Foote",Arthur Penn,2h 14m,"Crime,Drama,Thriller","English,Spanish",,13K,United States,Passed,No Popularity Score,"September 15, 1966",Arthur Penn,7.1,The Chase
1956,"$280,000 (estimated)","Don Siegel,Writer,Reginald Rose",Don Siegel,1h 31m,"Action,Crime,Drama","English,Italian",,1.4K,United States,Passed,No Popularity Score,"July 10, 1957",Don Siegel,6.6,Crime in the Streets
Video,"$1,000 (estimated)","Bill Melendez,Charles M. Schulz,Bill Melendez",Bill Melendez,7m,Short,English,,44,United States,2000,No Popularity Score,,Bill Melendez,8.1,A Charlie Brown Kwanzaa
2023,No budget,"Sean Wang,Yi Yan Fuei,Zhang Li Hua",Sean Wang,0,"Documentary,Short,Comedy",Mandarin,,1.5K,United States,17m,No Popularity Score,,Sean Wang,7.1,Nai Nai & Wài Pó
Video,"$50,000 (estimated)","Wheeler Winston Dixon,Gwendolyn Audrey Foster,Gwendolyn Audrey Foster",Wheeler Winston Dixon,55m,"Documentary,History",English,,133,United States,1992,No Popularity Score,,Wheeler Winston Dixon,9.3,Women Who Made the Movies
1955,No budget,"Gail Papineau,Bill Roberts,Paul Satterfield",Gail Papineau,0,"Documentary,Animation,Short",English,,13,United States,20m,No Popularity Score,,Gail Papineau,7.8,A World is Born
TV Movie,No budget,"Andy Mikita,Writers,Philip R. Craig",Andy Mikita,TV-PG,"Crime,Drama,Mystery","English,Latin",,988,"United States,Canada",2020,No Popularity Score,,Andy Mikita,6.7,Riddled with Deceit: A Martha's Vineyard Mysteries
TV Movie,No budget,"Terry Ingram,Charlaine Harris,Shelley Evans",Terry Ingram,1h 24m,"Crime,Drama,Mystery",English,,1.7K,Canada,2017,No Popularity Score,"June 6, 2017",Terry Ingram,6.8,Dead Over Heels: An Aurora Teagarden Mystery
TV Movie,No budget,"Kevin Fair,Charlaine Harris,Teena Booth",Kevin Fair,TV-G,"Crime,Drama,Mystery",English,,1.6K,Canada,2017,No Popularity Score,"August 31, 2017",Kevin Fair,6.6,A Bundle of Trouble: An Aurora Teagarden Mystery
1978,"$30,000 (estimated)","Eagle Pennell,Eagle Pennell,Lin Sutherland",Eagle Pennell,1h 49m,"Comedy,Drama",English,,423,United States,Not Rated,No Popularity Score,,Eagle Pennell,7.2,The Whole Shootin' Match
TV Movie,No budget,"Martin Wood,Charlaine Harris,Teena Booth",Martin Wood,TV-G,"Crime,Drama,Mystery",English,,1.4K,United States,2018,No Popularity Score,"May 15, 2018",Martin Wood,6.8,Last Scene Alive: An Aurora Teagarden Mystery
TV Special,No budget,"Walter C. Miller,Ken Ehrlich,Rod Warren",Walter C. Miller,3h,No kind,English,,20,United States,1980,No Popularity Score,,Walter C. Miller,7.1,The 32nd Annual Primetime Emmy Awards
1975,No budget,"Ronald Saland,Jay Anson,Ronald Saland",Ronald Saland,0,"Documentary,Short",English,,9,United States,9m,No Popularity Score,,Ronald Saland,5.8,The Day of the Director
1976,"$9,000,000 (estimated)","Michael Anderson,David Zelag Goodman,William F. Nolan",Michael Anderson,1h 59m,"Action,Adventure,Sci-Fi",English,,61K,United States,PG,"2,398","December 22, 1976",Michael Anderson,6.8,Logan's Run
1941,No budget,"Del Lord,Elwood Ullman,Stars",Del Lord,0,"Comedy,Short",English,,547,United States,17m,No Popularity Score,,Del Lord,7.7,Dutiful But Dumb
TV Movie,No budget,"Bob Marty,Andrew Ames,Stars",Bob Marty,54m,"Documentary,Biography,History",English,,19,United States,2019,No Popularity Score,,Bob Marty,7.1,Henry Louis Gates Jr.: Uncovering America
2007,"$20,000,000 (estimated)","Greg Mottola,Seth Rogen,Evan Goldberg",Greg Mottola,1h 53m,Comedy,English,,630K,United States,R,388,"October 31, 2007",Greg Mottola,7.6,Superbad
1934,No budget,"Ralph Staub,Jack Henley,Dolph Singer",Ralph Staub,0,"Comedy,Short",English,,216,United States,21m,No Popularity Score,,Ralph Staub,6.3,Art Trouble
1985,"$10,000,000 (estimated)","Mark L. Lester,Writers,Jeph Loeb",Mark L. Lester,1h 30m,"Action,Adventure,Thriller",English,,174K,United States,R,"2,012","February 5, 1986",Mark L. Lester,6.7,Commando
1987,"$3,000,000 (estimated)","Barbet Schroeder,Charles Bukowski,Stars",Barbet Schroeder,1h 40m,"Comedy,Drama,Romance",English,,22K,United States,R,No Popularity Score,"May 18, 1987",Barbet Schroeder,7.1,Barfly
1955,No budget,"Burt Lancaster,A.B. Guthrie Jr.,Felix Holt",Burt Lancaster,1h 44m,"Drama,Western","English,French",,3.1K,United States,Passed,No Popularity Score,"December 16, 1955",Burt Lancaster,6.2,The Kentuckian
1970,No budget,"Anatole Litvak,Writers,Sébastien Japrisot",Anatole Litvak,1h 45m,"Drama,Mystery,Thriller",French,,748,"France,United States",R,No Popularity Score,"October 22, 1970",Anatole Litvak,6.1,The Lady in the Car with Glasses and a Gun
Video,No budget,"John Cork,Lisa Van Eyssen,John Cork",John Cork,26m,"Documentary,Short",English,,17,United States,2008,No Popularity Score,,John Cork,6.9,Directed by: Joseph L. Mankiewicz
TV Movie,No budget,"Ellen Brown,Writers,Gene Perret",Ellen Brown,1h 30m,Comedy,English,,19,United States,1989,No Popularity Score,,Ellen Brown,7.8,Bob Hope's Love Affair with Lucy
1957,No budget,"Arnold Laven,Lawrence Roman,William J. Keating",Arnold Laven,1h 43m,"Crime,Drama,Film-Noir",English,,475,United States,Passed,No Popularity Score,"February 19, 1958",Arnold Laven,6.7,Slaughter on 10th Avenue
Video,No budget,"Matthew Goode,Mandy Moore,Matthew Goode",Matthew Goode,0,"Documentary,Short",English,,39,United States,2004,No Popularity Score,,Matthew Goode,6.2,Passport to Europe: On the Set of 'Chasing Liberty'
1949,"$4,500,000 (estimated)","Henry King,Milton Krims,Samuel Shellabarger",Henry King,1h 47m,"Adventure,Drama,Romance","English,Italian",,2K,United States,Approved,No Popularity Score,"November 11, 1949",Henry King,6.9,Prince of Foxes
1946,No budget,"Charles Vidor,Writers,E.A. Ellington",Charles Vidor,1h 50m,"Drama,Film-Noir,Romance","English,Spanish,French,German",,35K,United States,Approved,No Popularity Score,September 1946,Charles Vidor,7.6,Gilda
2004,"$23,000,000 (estimated)","Andy Cadiff,Derek Guiley,David Schneiderman",Andy Cadiff,1h 51m,"Comedy,Romance","English,French,German,Hebrew,Italian,Spanish",,41K,"United States,United Kingdom,Czech Republic,Italy",PG-13,No Popularity Score,,Andy Cadiff,6.1,Chasing Liberty
1919,No budget,"Cecil B. DeMille,Jeanie Macpherson,Stars",Cecil B. DeMille,1h 11m,Comedy,,,1.3K,United States,Not Rated,No Popularity Score,"January 14, 1921",Cecil B. DeMille,6.6,Don't Change Your Husband
2023,"$100,000 (estimated)","Chris Gore,Chris Gore,Stars",Chris Gore,1h 27m,Documentary,English,,275,United States,Not Rated,No Popularity Score,,Chris Gore,7.4,Attack of the Doc!
1982,"DEM 2,600,000 (estimated)","Rainer Werner Fassbinder,Rainer Werner Fassbinder,Pea Fröhlich",Rainer Werner Fassbinder,1h 44m,Drama,"German,English",,7.8K,West Germany,R,No Popularity Score,"June 30, 1982",Rainer Werner Fassbinder,7.6,Veronika Voss
1987,"$14,000,000 (estimated)","Adrian Lyne,Writer,James Dearden",Adrian Lyne,1h 59m,"Drama,Thriller",English,,97K,United States,R,"1,725","January 27, 1988",Adrian Lyne,6.9,Fatal Attraction
TV Movie,No budget,"Hanno Baethe,Hans Hirschmüller,Kurt Raab",Hanno Baethe,45m,"Documentary,Drama",German,,33,West Germany,1989,No Popularity Score,,Hanno Baethe,8.2,Sehnsucht nach Sodom
1951,No budget,"Rolf Meyer,Writers,Paul Baudisch",Rolf Meyer,0,Comedy,German,,18,West Germany,1h 39m,No Popularity Score,,Rolf Meyer,6.5,Professor Nachtfalter
1948,"$3,500,000 (estimated)","Vincent Sherman,Writers,Herbert Dalmas",Vincent Sherman,1h 50m,"Action,Adventure,Romance","English,Spanish",,3.5K,United States,Passed,No Popularity Score,"November 10, 1949",Vincent Sherman,7.0,Adventures of Don Juan
1973,No budget,"Nanni Moretti,Nanni Moretti,Stars",Nanni Moretti,0,Short,Italian,,30,Italy,26m,No Popularity Score,,Nanni Moretti,3.6,La sconfitta
Music Video,No budget,"Stars,The Beatles,George Harrison",Stars,3m,"Short,Music",English,,48,United Kingdom,1964,No Popularity Score,,Stars,6.4,The Beatles: She Loves You - A Hard Day's Night Version
1977,"$5,500,000 (estimated)","Clint Eastwood,Michael Butler,Dennis Shryack",Clint Eastwood,1h 49m,"Action,Crime,Thriller",English,,25K,United States,R,No Popularity Score,"April 5, 1978",Clint Eastwood,6.4,The Gauntlet
1956,No budget,"Joseph Pevney,Ted Sherdeman,Kenneth M. Dodson",Joseph Pevney,1h 54m,"Drama,War",English,,1.6K,United States,Approved,No Popularity Score,"September 11, 1956",Joseph Pevney,6.2,Away All Boats
