actors,director,entrees_fr,entrees_usa,image_urls,nationalite,semaine_fr,semaine_usa,studio,timing,title,titre_original
"Louise Bourgoin,Xavier Lacaille,Francesco Montanari","Émilie Noblet,Émilie Noblet,Clémence Dargent",54009,,https://fr.web.img3.acsta.net/c_310_420/pictures/24/01/18/11/47/4248626.jpg,france,20/03/2024 au 27/03/2024,,le pacte,0,bis repetita,pas de titre original
"Andrew Scott,Paul Mescal,Jamie Bell","Andrew Haigh,Andrew Haigh",74540,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/12/27/15/30/0426597.jpg,grande-bretagne,14/02/2024 au 21/02/2024,,the walt disney company france,0,sans jamais nous connaître,all of us strangers
"Vincent Lindon,Karole Rocher,Stefan Virgil Stoica","Nicolas Boukhrief,Nicolas Boukhrief,Eric Besnard",55026,,https://fr.web.img5.acsta.net/c_310_420/pictures/24/02/05/11/47/5329264.jpg,france,06/03/2024 au 13/03/2024,,le pacte,0,comme un fils,pas de titre original
"Christian Clavier,Marianne Denicourt,Didier Bourdon","Julien Hervé,Julien Hervé",584706,,https://fr.web.img4.acsta.net/c_310_420/pictures/23/11/27/11/08/3575019.jpg,france,07/02/2024 au 14/02/2024,,snd,0,cocorico,pas de titre original
"Patrick Timsit,Valérie Bonneton,Saaden Sada Balius","Philippe Pollet-Villard,Philippe Pollet-Villard,Allan Mauduit",78789,,https://fr.web.img2.acsta.net/c_310_420/pictures/24/01/10/11/17/1203183.jpg,france,28 février au 6 mars 2024,,zinc film,0,tombés du camion,pas de titre original
"Cillian Murphy,Emily Blunt,Matt Damon","Christopher Nolan,Christopher Nolan",1138907,,https://fr.web.img3.acsta.net/c_310_420/pictures/23/05/26/16/52/2793170.jpg,u.s.a.,19/07/2023 au 26/07/2023,,universal pictures international france,0,oppenheimer,pas de titre original
"Alexandra Lamy,Félix Moati,Sofian Khammes","Edouard Bergeon,Edouard Bergeon,Emmanuel Courcol",176281,,https://fr.web.img3.acsta.net/c_310_420/pictures/24/02/08/10/03/0470969.jpg,france,27 mars au 3 avril 2024,,diaphana distribution,0,la promesse verte,pas de titre original
"Nina Melo,Han Chang,Wu Ke-Xi","Abderrahmane Sissako,Abderrahmane Sissako,Kessen Tall",36556,,https://fr.web.img5.acsta.net/c_310_420/pictures/24/01/15/12/03/5150900.jpg,france,28 février au 6 mars 2024,,gaumont distribution,0,black tea,pas de titre original
"Michèle Laroque,Claudia Tagbo,David Mora","Stéphane Ben Lahcene,Stéphane Ben Lahcene",116784,,https://fr.web.img2.acsta.net/c_310_420/pictures/23/12/14/16/16/5709345.jpg,france,20/03/2024 au 27/03/2024,,ugc distribution,0,karaoké,pas de titre original
"Lumi Pollack,Emily Bett Rickards,Wayne Charles Baker","Gilles de Maistre,Gilles de Maistre,Prune de Maistre",222380,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/11/28/11/27/1028805.jpg,france,07/02/2024 au 14/02/2024,,studiocanal,0,le dernier jaguar,pas de titre original
"François Civil,Shaïn Boumedine,Bakary Kebe","Teddy Lussi-Modeste,Teddy Lussi-Modeste,Audrey Diwan",170817,,https://fr.web.img5.acsta.net/c_310_420/pictures/24/02/13/10/33/0660848.jpg,france,27 mars au 3 avril 2024,,ad vitam,0,pas de vagues,pas de titre original
"Anaïs Demoustier,Gilles Lellouche,Edouard Baer","Quentin Dupieux,Quentin Dupieux",209546,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/12/21/11/34/3008933.jpg,france,07/02/2024 au 14/02/2024,,diaphana distribution,0,daaaaaali !,pas de titre original
"Jack Lowden,Simon Russell Beale,Thom Ashley","Terence Davies,Terence Davies",9584,,https://fr.web.img3.acsta.net/c_310_420/pictures/24/01/29/09/24/5817193.jpg,grande-bretagne,06/03/2024 au 13/03/2024,,condor distribution,0,les carnets de siegfried,benediction
"Dakota Johnson,Sydney Sweeney,Isabela Merced","S.J. Clarkson,Matt Sazama,Burk Sharpless",207894,,https://fr.web.img4.acsta.net/c_310_420/pictures/24/01/11/09/49/2179240.jpg,u.s.a.,14/02/2024 au 21/02/2024,,sony pictures releasing france,0,madame web,pas de titre original
"Lyna Khoudri,Anamaria Vartolomei,Camille Cottin","Bruno Dumont,Bruno Dumont",48695,,https://fr.web.img3.acsta.net/c_310_420/pictures/24/01/22/12/14/0024963.jpg,france,21/02/2024 au 28/02/2024,,arp sélection,0,l'empire,pas de titre original
"Anthony Bajon,Raphaël Quenard,Galatea Bellugi","Jean-Baptiste Durand,Jean-Baptiste Durand",20877,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/03/22/09/10/0272581.jpg,france,19/04/2023 au 26/04/2023,,bac films,0,chien de la casse,pas de titre original
"Sara Montpetit,Félix-Antoine Bénard,Steve Laplante","Ariane Louis-Seize,Ariane Louis-Seize,Christine Doyon",7945,,https://fr.web.img3.acsta.net/c_310_420/pictures/24/02/15/14/50/0214309.jpg,canada,20/03/2024 au 27/03/2024,,wayna pitch,0,vampire humaniste cherche suicidaire consentant,pas de titre original
"Charlotte Gainsbourg,Mathieu Kassovitz,Pierre Arditi","Yvan Attal,Yaël Langmann,Yvan Attal",89353,,https://fr.web.img6.acsta.net/c_310_420/pictures/21/09/02/12/29/2672743.jpg,france,01/12/2021 au 8/12/2021,,gaumont distribution,0,les choses humaines,pas de titre original
"Aaricia Dubois,Wang Tingwen,Su Xin","Tian Xiaopeng,Tian Xiaopeng",79728,,https://fr.web.img5.acsta.net/c_310_420/pictures/23/12/01/14/15/3412210.jpg,chine,21/02/2024 au 28/02/2024,,kmbo,0,le royaume des abysses,shen hai
"DeWanda Wise,Tom Payne (II),Taegen Burns","Jeff Wadlow,Jeff Wadlow,Greg Erb",89440,,https://fr.web.img3.acsta.net/c_310_420/pictures/24/03/01/13/03/0156473.jpg,u.s.a.,06/03/2024 au 13/03/2024,,metropolitan filmexport,0,imaginary,pas de titre original
"Marc-André Grondin,Yves Jacques,Anne-Elisabeth Bossé","Xavier Legrand,Xavier Legrand",33121,,https://fr.web.img6.acsta.net/c_310_420/pictures/24/01/03/12/04/4994433.jpg,france,21/02/2024 au 28/02/2024,,haut et court,0,le successeur,pas de titre original
"Paul Hamy,Suliane Brahim,Françoise Lebrun","Gallien Guibert,Jean-Baptiste Delafon,Gallien Guibert",1209,,https://fr.web.img5.acsta.net/c_310_420/pictures/24/02/01/14/55/4598739.jpg,france,28 février au 6 mars 2024,,la vingt-cinquième heure,0,rien ni personne,pas de titre original
"Bahman Ark,Arghavan Shabani,Servin Zabetiyan","Ali Asgari,Alireza Khatami,Ali Asgari,Alireza Khatami",33572,,https://fr.web.img2.acsta.net/c_310_420/pictures/23/07/06/16/22/0815269.jpg,iran,13/03/2024 au 20/03/2024,,arp sélection,0,chroniques de téhéran,ayeh haye zamini
"Kev Adams,Gérard Depardieu,Daniel Prévost","Thomas Gilou,Catherine Diament,Kev Adams",663787,,https://fr.web.img3.acsta.net/c_310_420/pictures/21/12/03/13/10/5145956.jpg,france,16/02/2022 au 23/02/2022,,ugc distribution,0,maison de retraite,pas de titre original
"Fanny Ardant,Mathieu Kassovitz,Laetitia Dosch","Thierry Klifa,Benoît Graffin,Thierry Klifa",38177,,https://fr.web.img2.acsta.net/c_310_420/pictures/23/12/28/10/28/3916345.jpg,france,13/03/2024 au 20/03/2024,,apollo films,0,les rois de la piste,pas de titre original
"Yu-mi Jeong,Sun-kyun Lee,Kim Kum-Soon","Jason Yu,Jason Yu",48796,,https://fr.web.img2.acsta.net/c_310_420/pictures/24/01/09/10/21/0051901.jpg,corée du sud,21/02/2024 au 28/02/2024,,the jokers / les bookmakers,0,sleep,jam
"Raphaël Quenard,Pio Marmaï,Blanche Gardin","Quentin Dupieux,Quentin Dupieux",130879,,https://fr.web.img3.acsta.net/c_310_420/pictures/23/07/11/13/48/5180485.jpg,france,02/08/2023 au 9/08/2023,,diaphana distribution,0,yannick,pas de titre original
"Bryce Dallas Howard,Sam Rockwell,Henry Cavill","Matthew Vaughn,Jason Fuchs",219098,,https://fr.web.img3.acsta.net/c_310_420/pictures/24/01/22/11/34/5834555.jpg,grande-bretagne,31 janvier au 7 février 2024,,universal pictures international france,0,argylle,pas de titre original
"Matthew McConaughey,Hugh Grant,Charlie Hunnam","Guy Ritchie,Guy Ritchie",238040,,https://fr.web.img2.acsta.net/c_310_420/pictures/19/11/15/17/50/0228788.jpg,u.s.a.,05/02/2020 au 12/02/2020,,snd,0,the gentlemen,pas de titre original
"Birane Ba,Leïla Bekhti,Dali Benssalah","Jeanne Herry,Jeanne Herry",282292,,https://fr.web.img6.acsta.net/c_310_420/o_club-allocine-2024-310x420.png_0_se/pictures/23/02/16/11/33/5603857.jpg,france,29 mars au 5 avril 2023,,studiocanal,0,je verrai toujours vos visages,pas de titre original
"Halle Berry,Patrick Wilson,John Bradley (II)","Roland Emmerich,Roland Emmerich,Harald Kloser",207212,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/01/06/17/08/1230710.jpg,u.s.a.,09/02/2022 au 16/02/2022,,metropolitan filmexport,0,moonfall,pas de titre original
"Grégory Gadebois,Géraldine Nakache,Lyes Salem","Ronan Tronchot,Ronan Tronchot,Ludovic du Clary",23219,,https://fr.web.img5.acsta.net/c_310_420/pictures/24/02/14/16/22/0502200.jpg,france,27 mars au 3 avril 2024,,kmbo,0,paternel,pas de titre original
"Jeanne Balibar,Thomas Sarbacher,Pierre-Antoine Dubey","Maxime Rappaz,Maxime Rappaz",11013,,https://fr.web.img6.acsta.net/c_310_420/pictures/24/03/08/16/42/3323996.jpg,suisse,20/03/2024 au 27/03/2024,,eurozoom,0,laissez-moi,pas de titre original
"Alicia Vikander,Jude Law,Eddie Marsan","Karim Aïnouz,Jessica Ashworth,Henrietta Ashworth",106872,,https://fr.web.img2.acsta.net/c_310_420/pictures/23/08/31/09/14/5563343.jpg,u.s.a.,27 mars au 3 avril 2024,,arp sélection,0,le jeu de la reine,firebrand
"Pio Marmaï,Kumail Nanjiani,Laure Calamy","Benjamin Renner,Guylo Homsy,Mike White,Benjamin Renner",266863,,https://fr.web.img2.acsta.net/c_310_420/pictures/23/10/16/09/27/1728296.jpg,u.s.a.,06/12/2023 au 13/12/2023,,universal pictures international france,0,migration,pas de titre original
"Viggo Mortensen,Chiara Mastroianni,Alaina Clifford","Lisandro Alonso,Lisandro Alonso,Fabian Casas",5318,,https://fr.web.img2.acsta.net/c_310_420/pictures/24/01/19/11/37/4866799.jpg,argentine,28 février au 6 mars 2024,,le pacte,0,eureka,pas de titre original
"Iván Cáceres,Cesar Herrera,Paulina García","Claudia Huaiquimilla,Pablo Greene,Claudia Huaiquimilla",4110,,https://fr.web.img2.acsta.net/c_310_420/pictures/24/01/18/12/24/3035516.jpg,chili,13/03/2024 au 20/03/2024,,jhr films,0,mis hermanos,mis hermanos sueñan despiertos
"Kamila Urzedowska,Nadia Tereszkiewicz,Robert Gulaczyk","DK Welchman,Hugh Welchman,DK Welchman,Hugh Welchman",16136,,https://fr.web.img4.acsta.net/c_310_420/pictures/24/02/16/11/38/4398079.jpg,pologne,20/03/2024 au 27/03/2024,,the jokers / les bookmakers,0,la jeune fille et les paysans,chlopi
"Cathalina Geraerts,Felix Heremans,Greet Verstraete","Fien Troch,Fien Troch",3464,,https://fr.web.img3.acsta.net/c_310_420/pictures/24/02/08/13/44/5539401.jpg,belgique,06/03/2024 au 13/03/2024,,new story,0,holly,pas de titre original
"Mouna Hawa,Seleena Rababah,Haitham Omari","Amjad Al Rasheed,Amjad Al Rasheed,Rula Nasser",14474,,https://fr.web.img6.acsta.net/c_310_420/pictures/24/02/01/17/44/2250714.jpg,jordanie,06/03/2024 au 13/03/2024,,pyramide distribution,0,inchallah un fils,inshallah walad
"Charlotte De Bruyne,Rosa Marchant,Amber Metdepenningen","Veerle Baetens,Veerle Baetens,Maarten Loix",4156,,https://fr.web.img3.acsta.net/c_310_420/pictures/23/10/31/17/02/2043578.jpg,belgique,28 février au 6 mars 2024,,jour2fête,0,débâcle,het smelt
"Kingsley Ben-Adir,Lashana Lynch,James Norton","Reinaldo Marcus Green,Reinaldo Marcus Green,Zach Baylin",772865,,https://fr.web.img6.acsta.net/c_310_420/pictures/24/01/18/11/59/2019347.jpg,u.s.a.,14/02/2024 au 21/02/2024,,paramount pictures france,0,bob marley: one love,pas de titre original
"Pierre Niney,Lou de Laâge,André Dussollier","Yann Gozlan,Yann Gozlan,Simon Moutaïrou",292081,,https://fr.web.img4.acsta.net/c_310_420/o_club-allocine-2024-310x420.png_0_se/pictures/21/06/24/18/11/2856544.jpg,france,08/09/2021 au 15/09/2021,,studiocanal,0,boîte noire,pas de titre original
"Yûki Yamada,Shôtarô Mamiya,Amane Okayama","Yuzuru Tachikawa, NUMBER 8",10174,,https://fr.web.img6.acsta.net/c_310_420/pictures/24/01/17/11/26/3762153.jpg,japon,06/03/2024 au 13/03/2024,,eurozoom,0,blue giant,pas de titre original
"Reina Ueda,Koji Yakusho,Tokio Emoto","Wim Wenders,Wim Wenders,Takayuki Takuma",103232,,https://fr.web.img4.acsta.net/c_310_420/pictures/23/10/19/17/23/3002976.jpg,allemagne,29 novembre au 6 décembre 2023,,haut et court,0,perfect days,pas de titre original
"Zafreen Zairizal,Deena Ezral, Piqa","Amanda Nell Eu,Amanda Nell Eu",2091,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/10/04/16/36/0760251.jpg,malaisie,13/03/2024 au 20/03/2024,,jour2fête,0,tiger stripes,pas de titre original
"Daniel Elias,Esteban Bigliardi,Margarita Molfino","Rodrigo Moreno,Rodrigo Moreno",15506,,https://fr.web.img4.acsta.net/c_310_420/pictures/24/01/24/15/54/2617729.jpg,argentine,27 mars au 3 avril 2024,,arizona distribution / jhr films,0,los delincuentes,pas de titre original
"Kenneth Branagh,Tina Fey,Camille Cottin","Kenneth Branagh,Michael Green",250148,,https://fr.web.img4.acsta.net/c_310_420/pictures/23/08/02/11/50/2026015.jpg,grande-bretagne,13/09/2023 au 20/09/2023,,the walt disney company france,0,mystère à venise,a haunting in venice
"Timothée Chalamet,Calah Lane,Keegan-Michael Key","Paul King,Paul King,Simon Farnaby",787846,,https://fr.web.img2.acsta.net/c_310_420/pictures/23/12/05/14/56/1249162.jpg,u.s.a.,13/12/2023 au 20/12/2023,,warner bros. france,0,wonka,pas de titre original
"Léa Seydoux,George MacKay,Guslagie Malanda","Bertrand Bonello,Bertrand Bonello,Guillaume Breaud",40476,,https://fr.web.img2.acsta.net/c_310_420/pictures/24/02/02/12/29/2936172.jpg,france,07/02/2024 au 14/02/2024,,ad vitam,0,la bête,pas de titre original
"Adam Driver,Penélope Cruz,Shailene Woodley","Michael Mann,Troy Kennedy-Martin,David Rayfield",4063910,,https://fr.web.img6.acsta.net/c_310_420/pictures/24/01/23/10/32/1958996.jpg,u.s.a.,29 décembre au 1 janvier 2024,,2 nominations,0,ferrari,pas de titre original
"Anamaria Vartolomei,Kacey Mottet Klein,Luàna Bajrami","Audrey Diwan,Audrey Diwan,Marcia Romano",62150,,https://fr.web.img2.acsta.net/c_310_420/pictures/21/11/03/08/44/2142153.jpg,france,24 novembre au 1 décembre 2021,,wild bunch distribution,0,l'evénement,pas de titre original
"Pierre Niney,Blanche Gardin,Frankie Wallach","Michel Gondry,Michel Gondry",188920,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/08/01/12/15/5871398.jpg,france,13/09/2023 au 20/09/2023,,the jokers / les bookmakers,0,le livre des solutions,pas de titre original
"Talia Ryder,Simon Rex,Earl Cave","Sean Price Williams,Nick Pinkerton",5733,,https://fr.web.img6.acsta.net/c_310_420/pictures/24/02/13/10/34/2205972.jpg,u.s.a.,13/03/2024 au 20/03/2024,,potemkine films,0,the sweet east,pas de titre original
"Christian Clavier,Chantal Lauby,Ary Abittan","Philippe de Chauveron,Philippe de Chauveron,Guy Laurent",874683,,https://fr.web.img5.acsta.net/c_310_420/pictures/21/10/21/10/17/5465951.jpg,france,06/04/2022 au 13/04/2022,,ugc distribution,0,qu'est-ce qu'on a tous fait au bon dieu ?,pas de titre original
"Satoshi Tsumabuki,Sakura Andô,Masataka Kubota","Kei Ishikawa,Kôsuke Mukai",38635,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/11/24/16/58/2603929.jpg,japon,31 janvier au 7 février 2024,,art house,0,a man,aru otoko
"Charlotte Gainsbourg,Quito Rayon Richter,Noée Abita","Mikhaël Hers,Mikhaël Hers,Maud Ameline",78880,,https://fr.web.img5.acsta.net/c_310_420/pictures/22/04/12/16/01/3361793.jpg,france,04/05/2022 au 11/05/2022,,pyramide distribution,0,les passagers de la nuit,pas de titre original
"Cristiana Dell'Anna,John Lithgow,David Morse","Alejandro Monteverde,Rod Barr,Alejandro Monteverde",1062,,https://fr.web.img5.acsta.net/c_310_420/pictures/24/01/25/10/49/4266368.jpg,u.s.a.,20/03/2024 au 27/03/2024,,saje distribution,0,cabrini,pas de titre original
"Alice Isaaz,Roschdy Zem,Vincent Elbaz","Alix Delaporte,Alix Delaporte,Alain Le Henry",52962,,https://fr.web.img6.acsta.net/c_310_420/pictures/24/01/18/10/27/0511365.jpg,france,14/02/2024 au 21/02/2024,,pyramide distribution,0,vivants,pas de titre original
"Catherine Deneuve,Andrea Riseborough,Morgan Saylor","Hanna Ladoul,Marco La Via,Hanna Ladoul,Marco La Via",19143,,https://fr.web.img4.acsta.net/c_310_420/pictures/23/11/20/12/07/2759743.jpg,france,21/02/2024 au 28/02/2024,,ugc distribution / tf1 studio,0,au fil des saisons,pas de titre original
"Denzel Washington,Rami Malek,Jared Leto","John Lee Hancock,John Lee Hancock",4705527,,https://fr.web.img6.acsta.net/c_310_420/pictures/20/12/22/16/23/1040251.jpg,u.s.a.,2021/02/2021 au 1/02/2021,,warner bros. france,0,une affaire de détails,the little things
"Didier Bourdon,Eric Fraticelli,Philippe Corti","Eric Fraticelli,Eric Fraticelli",137335,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/09/11/08/52/2756338.jpg,france,01/11/2023 au 8/11/2023,,pan distribution,0,inestimable,pas de titre original
"Natsuki Hanae,Kengo Kawanishi,Akari Kito",Haruo Sotozaki,151200,,https://fr.web.img3.acsta.net/c_310_420/pictures/24/01/24/16/15/5524694.jpg,japon,21/02/2024 au 28/02/2024,,sony pictures releasing france,0,demon slayer: kimetsu no yaiba – en route vers l'entraînement des piliers,demon slayer: kimetsu no yaiba - to the hashira training
"Valeria Bruni Tedeschi,Yona Rozenkier,Germaine Unikovsky","Yossi Aviram,Yossi Aviram,Valeria Bruni Tedeschi",5019,,https://fr.web.img2.acsta.net/c_310_420/pictures/24/01/25/09/04/2620263.jpg,israël,28 février au 6 mars 2024,,les films du losange,0,il n'y a pas d'ombre dans le désert,pas de titre original
"Ella Rumpf,Jean-Pierre Darroussin,Clotilde Courau","Anna Novion,Anna Novion,Mathieu Robin",53400,,https://fr.web.img4.acsta.net/c_310_420/pictures/23/09/19/12/02/1154112.jpg,france,01/11/2023 au 8/11/2023,,pyramide distribution,0,le théorème de marguerite,pas de titre original
"Franck Dubosc,Reem Kherici,Philippe Lacheau","Reem Kherici,Reem Kherici,Tristan Schulmann",314952,,https://fr.web.img3.acsta.net/c_310_420/pictures/23/12/28/12/07/0969555.jpg,france,14/02/2024 au 21/02/2024,,gaumont distribution,0,chien et chat,pas de titre original
"Camille Cottin,Léa Lopez,Thomas Gioria","Nathan Ambrosioni,Nathan Ambrosioni",121678,,https://fr.web.img5.acsta.net/c_310_420/pictures/23/06/27/11/38/3767313.jpg,france,06/09/2023 au 13/09/2023,,studiocanal,0,toni en famille,pas de titre original
"Mia Maelzer,Fotinì Peluso,Kim Raver","Laetitia Colombani,Laetitia Colombani,Sarah Kaminsky",306073,,https://fr.web.img3.acsta.net/c_310_420/pictures/23/08/24/12/29/0603454.jpg,france,29 novembre au 6 décembre 2023,,snd,0,la tresse,pas de titre original
"André Dussollier,Stephen Fry,Marion Cotillard","Jim Capobianco,Pierre-Luc Granjon,Jim Capobianco",87482,,https://fr.web.img5.acsta.net/c_310_420/pictures/23/11/07/16/21/1931517.jpg,irlande,31 janvier au 7 février 2024,,kmbo,0,"léo, la fabuleuse histoire de léonard de vinci",the inventor
"Margot Robbie,Ryan Gosling,America Ferrera","Greta Gerwig,Greta Gerwig,Noah Baumbach",1680490,,https://fr.web.img2.acsta.net/c_310_420/pictures/23/06/16/12/04/4590179.jpg,u.s.a.,19/07/2023 au 26/07/2023,,warner bros. france,0,barbie,pas de titre original
"Leonardo DiCaprio,Lily Gladstone,Robert De Niro","Martin Scorsese,Eric Roth,Martin Scorsese",418140,,https://fr.web.img4.acsta.net/c_310_420/pictures/23/08/31/10/37/3301375.jpg,u.s.a.,18/10/2023 au 25/10/2023,,paramount pictures france,0,killers of the flower moon,pas de titre original
"Alexander Lincoln,Alexander King,Christopher Sherwood","Matt Carter (II),Matt Carter (II),Adam Silver",1753,,https://fr.web.img6.acsta.net/c_310_420/pictures/24/02/07/09/23/0863240.jpg,grande-bretagne,28 février au 6 mars 2024,,optimale distribution,0,dans la mêlée,in from the side
"Jean-Paul Rouve,Kim Higelin,Laetitia Casta","Vanessa Filho,Vanessa Filho",59266,,https://fr.web.img4.acsta.net/c_310_420/pictures/23/07/28/14/17/5661948.jpg,france,11/10/2023 au 18/10/2023,,pan distribution,0,le consentement,pas de titre original
"Virginie Efira,Melvil Poupaud,Dominique Reymond","Valérie Donzelli,Valérie Donzelli,Audrey Diwan",220327,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/05/03/10/31/0533255.jpg,france,24/05/2023 au 31/05/2023,,diaphana distribution,0,l'amour et les forêts,pas de titre original
"Sandra Bullock,Channing Tatum,Daniel Radcliffe","Aaron Nee,Adam Nee,Oren Uziel,Dana Fox",317713,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/02/22/12/00/1445602.jpg,u.s.a.,20/04/2022 au 27/04/2022,,paramount pictures france,0,le secret de la cité perdue,the lost city
