titre,score,nbre_vote,genres,langue,pays,pegi,duree,annee,popularite_score,director,scenaristes,casting_principal,casting_complet,budget
Dune : Deuxième Partie,"8,8",319 k,"['Action', 'Aventure', 'Drame']",['Anglais'],"['États-Unis', 'Canada', 'Émirats arabes unis', 'Hongrie', 'Italie', 'Nouvelle-Zélande', 'Jordanie', 'Gambie']",Tous publics avec avertissement,2h 46min,2024,3,Denis Villeneuve,Denis Villeneuve,"['Denis Villeneuve', 'Denis Villeneuve', 'Jon Spaihts']","['Timothée Chalamet', 'Zendaya', 'Rebecca Ferguson', 'Javier Bardem', 'Josh Brolin', 'Austin Butler', 'Florence Pugh', 'Dave Bautista', 'Christopher Walken', 'Léa Seydoux', 'Stellan Skarsgård', 'Charlotte Rampling', 'Souheila Yacoub', 'Roger Yuan', 'Babs Olusanmokun', 'Alison Halstead', 'Giusi Merli', 'Kait Tenison']",190 000 000 $US (estimé)
Dans la peau de Blanche Houellebecq,"6,4",42,['Comédie'],['Français'],['France'],Tous publics,1h 28min,2024,['No Popularity Score'],Guillaume Nicloux,Guillaume Nicloux,"['Guillaume Nicloux', 'Guillaume Nicloux', 'Casting principal']","['Vincent Volkoff', 'Françoise Lebrun', 'Jean-Pascal Zadi', 'Gaspar Noé', 'Ronald Pierre', 'Jean-Louis Gautier', 'Apollinaire Godard', 'Francky Briny', 'Didier Daijardin', 'Jacqueline Baltus', 'Elise Cresson', 'Yann Ichon Bella Ola', 'Céline Loco', 'Nathaly Coualy', 'Rio Marie-Magdelaine', 'Lidgy Jules-Gaston', 'Rebecca Bering', 'Franky Vincent']",['No budget']
Pauvres Créatures,"7,9",232 k,"['Comédie', 'Drame', 'Romantique']","['Anglais', 'Français', 'Portugais']","['Irlande', 'Royaume-Uni', 'États-Unis', 'Hongrie']",Tous publics avec avertissement,2h 21min,2023,4,Yorgos Lanthimos,Yorgos Lanthimos,"['Yorgos Lanthimos', 'Tony McNamara', 'Alasdair Gray']","['Emma Stone', 'Mark Ruffalo', 'Willem Dafoe', 'Ramy Youssef', 'Vicki Pepperdine', 'Jack Barton', 'Charlie Hiscock', 'Attila Dobai', 'Emma Hindle', 'Anders Olof Grundberg', 'Attila Kecskeméthy', 'Jucimar Barbosa', 'Carminho', 'Angela Paula Stander', 'Gustavo Gomes', 'Kate Handford', 'Owen Good', 'Zen Joshua Poisson']",35 000 000 $US (estimé)
Immaculée,"6,3","7,1 k",['Horreur'],"['Italien', 'Anglais']","['Italie', 'États-Unis']",12 avec avertissement,1h 29min,2024,18,Michael Mohan,Michael Mohan,"['Michael Mohan', 'Andrew Lobel', 'Casting principal']","['Sydney Sweeney', 'Álvaro Morte', 'Simona Tabasco', 'Benedetta Porcaroli', 'Giorgio Colangeli', 'Dora Romano', 'Giulia Heathfield Di Renzi', 'Giampiero Judica', 'Betty Pedrazzi', 'Giuseppe Lo Piccolo', 'Cristina Chinaglia', 'Niccolò Senni', 'Isabel Desantis', 'Viviane Florentine Nicolai', 'Marisa Regina', 'Laura Camassa', 'Cinzia Fantauzzi', 'Tiziano Ferracci']",['No budget']
Sans jamais nous connaître,"7,7",40 k,"['Drame', 'Fantastique', 'Romantique']",['Anglais'],"['Royaume-Uni', 'États-Unis']",Tous publics,1h 45min,2023,69,Andrew Haigh,Andrew Haigh,"['Andrew Haigh', 'Andrew Haigh', 'Taichi Yamada']","['Andrew Scott', 'Paul Mescal', 'Carter John Grout', 'Jamie Bell', 'Claire Foy', 'Ami Tredrea', 'Cameron Ashplant', 'Lincoln R. Beckett', 'Jack Cronin', 'Christian Di Sciullo', 'Oliver Franks', 'Hussein Kutsi', 'Gsus Lopez', 'Jack Pallister', 'Guy Robbins', 'Darren Ryames', 'Zachary Timmis', 'Sean Tizzard']",['No budget']
Comme un fils,"6,5",52,['Drame'],['Français'],['France'],Tous publics,1h 42min,2023,['No Popularity Score'],Nicolas Boukhrief,Nicolas Boukhrief,"['Nicolas Boukhrief', 'Éric Besnard', 'Nicolas Boukhrief']","['Vincent Lindon', 'Stefan Virgil Stoica', 'Karole Rocher', 'Sorin Mihai', 'Robert Opasche', ""Florin 'Beti' Opasche"", 'Jean-Charles Canu', 'Florent Cheippe', 'Myriam Djeljeli', 'Gina Jimenez', 'Nina Boukhrief', 'Guillaume Draux', 'Saïd Aïssaoui', 'Pascal Vannson', 'Kamel Abdelli', 'Sandie Masson', 'Emmanuel Rausenberger', 'Jacky Latulipe']",['No budget']
Bis Repetita,"6,4",78,['Comédie'],"['Français', 'Latin', 'Anglais', 'Italien']","['France', 'Italie']",Tous publics,1h 26min,2024,['No Popularity Score'],Émilie Noblet,Émilie Noblet,"['Émilie Noblet', 'Clémence Dargent', 'Émilie Noblet']","['Louise Bourgoin', 'Xavier Lacaille', 'Francesco Montanari', 'Noémie Lvovsky', 'Rosie Boccardi', 'Elias Donada', 'Gabrielle Garcia', 'Stylane Lecaille', 'Issa Perica', 'Antoinette Aaron', 'Léo Panetta', 'Margherita Mei', 'Emmanuel Buffet', 'Marion Lahmer', ""Nathalie N'Songan"", 'Guillaume Pottier', 'Satya Dusaugey', 'Sarah Viennot']",3 290 000 € (estimé)
Tombés du camion,"4,4",14,['Comédie'],['Français'],"['France', 'Belgique']",1h 29min,0,2024,['No Popularity Score'],Philippe Pollet-Villard,Philippe Pollet-Villard,"['Philippe Pollet-Villard', 'Scénario', 'Allan Mauduit']","['Patrick Timsit', 'Valérie Bonneton', 'Saaden Sada Balius', 'Sébastien Chassagne', 'Jules Garreau', 'Karim Barras', 'Mélanie Doutey', 'Samir Guesmi', 'Serge Riaboukine', 'François Neycken', 'Jean-Benoît Ugeux', 'Alain Bellot', 'Cerise Péroua', 'Elisabeth Tissot-Guerraz', 'Éric Leblanc', 'Livio Azzarello', 'Pierre Azzarello', 'Sohel Harbouche']",['No budget']
Oppenheimer,"8,3",710 k,"['Biographique', 'Drame', 'Historique']","['Anglais', 'Allemand', 'Italien']","['États-Unis', 'Royaume-Uni']",Tous publics,3h,2023,12,Christopher Nolan,Christopher Nolan,"['Christopher Nolan', 'Christopher Nolan', 'Kai Bird']","['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Alden Ehrenreich', 'Scott Grimes', 'Jason Clarke', 'Kurt Koehler', 'Tony Goldwyn', 'John Gowans', 'Macon Blair', ""James D'Arcy"", 'Kenneth Branagh', 'Harry Groener', 'Gregory Jbara', 'Ted King', 'Tim DeKay', 'Steven Houska']",100 000 000 $US (estimé)
La promesse verte,"6,6",74,['Drame'],"['Français', 'Indonésien', 'Anglais']","['France', 'Belgique']",2h,0,2024,['No Popularity Score'],Édouard Bergeon,Édouard Bergeon,"['Édouard Bergeon', 'Scénario', 'Cécile Allegra']","['Alexandra Lamy', 'Félix Moati', 'Sofian Khammes', 'Julie Chen', 'Antoine Bertrand', 'David Chin', 'Adam Fitzgerald', 'Philippe Torreton', 'Charlie Costillas', 'Olivier Ythier', ""Fatou N'Diaye"", 'Emmanuel Courcol', 'Christophe Rossignon', 'Stéphane Pezerat', 'Karim Rissouli', 'Louise Rossignon', ""Thomas Jeand'Heur"", 'Best Tangwongsiri']",['No budget']
Karaoke,"7,5",956,"['Comédie', 'Drame']",['Hébreu'],['Israël'],1h 40min,0,2022,['No Popularity Score'],Moshe Rosenthal,Moshe Rosenthal,"['Moshe Rosenthal', 'Moshe Rosenthal', 'Casting principal']","['Lior Ashkenazi', 'Sasson Gabay', 'Gabriel Omri Loukas', 'Keren Tzur', 'Talleen Abu Hanna', 'Rita Shukrun', 'Kobi Farag', 'Michal Levi', 'Timor Cohen', 'Alma Dishi', 'Arie Tcherner', 'Miki Ben-Harush', 'Hagar Mesholam Weizman', 'Sharon Peled', 'Ofri Fox', 'Elia Lassri', 'Shiri Aviel', 'Tamar Goldner']",['No budget']
Cocorico,"5,9",354,['Comédie'],"['Français', 'Allemand', 'Portugais', 'Anglais']",['France'],1h 32min,0,2024,['No Popularity Score'],Julien Hervé,Julien Hervé,"['Julien Hervé', 'Julien Hervé', 'Casting principal']","['Christian Clavier', 'Didier Bourdon', 'Sylvie Testud', 'Marianne Denicourt', 'Julien Pestel', 'Chloé Coulloud', 'Sophie Froissard', 'Johann Dionnet', 'Patrick Préjean', 'Loïc Rojouan', 'Charline Paul', 'Philippe Vieux', 'Damien Bellard', 'Laurent Joly', 'Laura Müller', 'Sébastien Boissavit']",['No budget']
Le dernier jaguar,"5,7",313,"['Aventure', 'Comédie', 'Famille']",['Anglais'],"['France', 'Allemagne', 'Canada']",Tous publics,1h 40min,2024,['No Popularity Score'],Gilles de Maistre,Gilles de Maistre,"['Gilles de Maistre', 'Prune de Maistre', 'Casting principal']","['Emily Bett Rickards', 'Lumi Pollack', 'Wayne Charles Baker', 'Paul Greene', 'Kelly Hope Taylor', 'Lucrezia Pini', 'Airam Camacho', 'Eva Avila', 'Letitia Brookes', 'K.C. Coombs', 'Amanda Ip', 'Mégane Proulx', 'Charlie Vachon']",['No budget']
Black Tea,"5,4",142,"['Drame', 'Romantique']","['Mandarin', 'Anglais', 'Français', 'Portugais']","['France', 'Taïwan', 'Luxembourg', 'Mauritanie']",1h 50min,0,2024,['No Popularity Score'],Abderrahmane Sissako,Abderrahmane Sissako,"['Abderrahmane Sissako', 'Abderrahmane Sissako', 'Kessen Tall']","['Nina Melo', 'Han Chang', 'Ke-Xi Wu', 'Michael Chang', 'Pei-Jen Yu', 'Wei Huang', 'Emery Gahuranyi', 'Isabelle Kabano', 'Odo Marie', 'Franck Pycardhy', 'Cheikh Ahmed Kenkou']",['No budget']
Daaaaaalí!,"6,9","1,1 k","['Comédie', 'Drame']",['Français'],['France'],Tous publics,1h 17min,2023,['No Popularity Score'],Quentin Dupieux,Quentin Dupieux,"['Quentin Dupieux', 'Quentin Dupieux', 'Casting principal']","['Anaïs Demoustier', 'Edouard Baer', 'Jonathan Cohen', 'Gilles Lellouche', 'Pio Marmaï', 'Didier Flamand', 'Romain Duris', 'Agnès Hurstel', 'Jean-Marie Winling', 'Marie Bunel', 'Éric Naggar', 'Catherine Schaub-Abkarian', 'Marc Fraize', 'Jérôme Niel', 'Boris Gillot', 'Hervé Pauchon', 'Angélique Pleau', 'Matthias Girbig']",6 700 000 € (estimé)
Les carnets de Siegfried,"6,7","3,7 k","['Biographique', 'Drame', 'Historique']","['Anglais', 'Français', 'Allemand']","['Royaume-Uni', 'États-Unis']",Not Rated,2h 17min,2021,['No Popularity Score'],Terence Davies,Terence Davies,"['Terence Davies', 'Terence Davies', 'Casting principal']","['Jack Lowden', 'Thom Ashley', 'Orlando Jopling', 'Christopher Naylor', 'Geraldine James', 'Simon Russell Beale', 'Peter Capaldi', 'Richard Goulding', 'Jude Akuwudike', 'Daniel Tuite', 'Mark Oosterveen', 'Steven Pacey', 'Julian Sands', 'Joyce Henderson', 'Ben Daniels', 'Matthew Tennyson', 'Torquil Munro', 'Chrissy Roberts']",['No budget']
Pas de vagues,"6,7",237,['Drame'],['Français'],"['France', 'Belgique']",1h 31min,0,2024,['No Popularity Score'],Teddy Lussi-Modeste,Teddy Lussi-Modeste,"['Teddy Lussi-Modeste', 'Audrey Diwan', 'Teddy Lussi-Modeste']","['François Civil', 'Shaïn Boumedine', 'Toscane Duquesne', 'Mallory Wanecque', 'Bakary Kebe', 'Emma Boumali', 'Marianne Ehouman', 'Luna Ho Poumey', 'Mohamed Fadiga', 'Atik Jawed', 'Estevan Marchenoir', 'Agnès Hurstel', 'Myriam Djeljeli', 'Emilie Incerti-Formentini', 'Mustapha Abourachid', 'Armindo Alves de Sa', 'Francis Leplay', 'Fadily Camara']",3 870 000 € (estimé)
Madame Web,"3,8",51 k,"['Action', 'Aventure', 'Science-fiction']",['Anglais'],"['États-Unis', 'Canada', 'Mexique']",Tous publics,1h 56min,2024,35,S.J. Clarkson,S.J. Clarkson,"['S.J. Clarkson', 'Scénario', 'Matt Sazama']","['Dakota Johnson', 'Sydney Sweeney', 'Isabela Merced', ""Celeste O'Connor"", 'Tahar Rahim', 'Mike Epps', 'Emma Roberts', 'Adam Scott', 'Kerry Bishé', 'Zosia Mamet', 'José María Yazpik', 'Kathy-Ann Hart', 'Josh Drennen', 'Yuma Feldman', 'Miranda Adekoje', 'Deirdre McCourt', 'Naheem Garcia', 'Jill Hennessy']",80 000 000 $US (estimé)
L'Empire contre-attaque,"8,7","1,4 M","['Action', 'Aventure', 'Fantastique']",['Anglais'],['États-Unis'],Tous publics,2h 4min,1980,800,Irvin Kershner,Irvin Kershner,"['Irvin Kershner', 'Leigh Brackett', 'Lawrence Kasdan']","['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams', 'Anthony Daniels', 'David Prowse', 'Peter Mayhew', 'Kenny Baker', 'Frank Oz', 'Alec Guinness', 'Jeremy Bulloch', 'John Hollis', 'Jack Purvis', 'Des Webb', 'Clive Revill', 'Kenneth Colley', 'Julian Glover', 'Michael Sheard']",18 000 000 $US (estimé)
Chien de la casse,"7,0",2 k,"['Comédie', 'Drame']",['Français'],['France'],Tous publics,1h 33min,2023,['No Popularity Score'],Jean-Baptiste Durand,Jean-Baptiste Durand,"['Jean-Baptiste Durand', 'Jean-Baptiste Durand', 'Nicolas Fleureau']","['Anthony Bajon', 'Raphaël Quenard', 'Galatéa Bellugi', 'Dominique Reymond', 'Bernard Blancan', 'Nathan Le Graciet', 'Mélanie Martinez', 'Mike Reilles', 'Mathieu Amilien', 'Evelina Pitti', 'Kader Bouallaga', 'Marysole Fertard', 'Thibaut Bayard', 'Maia Dennehy', 'Tommy-Lee Baïk', 'Fayssal Djedoui', 'Antoine Rodriguez', 'Viktor Gkoritsas']",['No budget']
Vampire humaniste cherche suicidaire consentant,"7,2","1,5 k","['Comédie', 'Drame', 'Fantastique']",['Français'],['Canada'],1h 30min,0,2023,4 116,Ariane Louis-Seize,Ariane Louis-Seize,"['Ariane Louis-Seize', 'Christine Doyon', 'Ariane Louis-Seize']","['Sara Montpetit', 'Félix-Antoine Bénard', 'Steve Laplante', 'Sophie Cadieux', ""Noémie O'Farrell"", 'Lilas-Rose Cantin', 'Arnaud Vachon', 'Marie Brassard', 'Madeleine Péloquin', 'Gabriel-Antoine Roy', 'Isabella Villalba', 'Patrick Hivon', 'Marc Beaupré', 'Micheline Bernard', 'Sylvie Lemay', 'Ariane Castellanos', 'Wiam Mokhtari', 'Zoé Nagy']",4 000 000 $CA (estimé)
Les choses humaines,"7,0","1,9 k",['Drame'],['Français'],['France'],Tous publics,2h 18min,2021,['No Popularity Score'],Yvan Attal,Yvan Attal,"['Yvan Attal', 'Karine Tuil', 'Yaël Langmann']","['Ben Attal', 'Suzanne Jouannet', 'Charlotte Gainsbourg', 'Mathieu Kassovitz', 'Pierre Arditi', 'Audrey Dana', 'Benjamin Lavernhe', 'Judith Chemla', 'Réjane Kerdaffrec', 'Gérard Watkins', 'Franz Lang', 'Camille Razat', 'Anne Bouvier', 'Sarah Chaumette', 'Marcel Gitard', 'Emmanuelle Lepoutre', 'Laëtitia Eïdo', 'Julie Fournier']",['No budget']
Le royaume des abysses,"6,8","1,8 k","['Animation', 'Aventure', 'Drame']",['Mandarin'],['Chine'],Tous publics avec avertissement,1h 52min,2023,['No Popularity Score'],Xiaopeng Tian,Xiaopeng Tian,"['Xiaopeng Tian', 'Fabiola Stevenson', 'Xiaopeng Tian']","['Tingwen Wang', 'Su Xin', 'Kuixing Teng', 'Yang Ting', 'Jing Ji', 'Haoran Guo', 'Xiaopeng Tian', 'Yi Dong', 'Taochen Fang', 'Brian Flaccus', 'Angela Malhotra', 'Eduardo De Los Reyes']",300 000 000 CNY (estimé)
Imaginary,"4,7","7,8 k","['Horreur', 'Mystère', 'Thriller']",['Anglais'],['États-Unis'],12,1h 44min,2024,55,Jeff Wadlow,Jeff Wadlow,"['Jeff Wadlow', 'Jeff Wadlow', 'Greg Erb']","['DeWanda Wise', 'Taegen Burns', 'Pyper Braun', 'Betty Buckley', 'Tom Payne', 'Veronica Falcón', 'Samuel Salary', 'Matthew Sato', 'Alix Angelis', 'Wanetah Walmsley', 'Rhythm Hurd', 'Shawn Sanz', 'Lawrence Weber Jr.', 'Noah Martinez', 'Lilly Sunshine', 'Cecilia Leal', 'Eduardo Campirano', 'Michael Bekemeier']",13 000 000 $US (estimé)
Le successeur,"7,2",448,"['Drame', 'Thriller']",['Français'],"['France', 'Canada', 'Belgique']",1h 52min,0,2023,['No Popularity Score'],Xavier Legrand,Xavier Legrand,"['Xavier Legrand', 'Xavier Legrand', 'Dominick Parenteau-Lebeuf']","['Marc-André Grondin', 'Yves Jacques', 'Laetitia Isambert-Denis', 'Anne-Élisabeth Bossé', 'Blandine Bury', 'Vincent Leclerc', 'Louis Champagne', 'Mireille Naggar', 'Marie-France Lambert', 'Thierry Harcourt', 'Florence Janas', 'Anne Loiret', 'Sarah Desjeunes Rico', 'Ted Pluviose', 'Jin Xuan Mao', 'Cindy Doutres', ""Nine d'Urso"", 'Veronika Vasilyeva Rije']",5 800 000 € (estimé)
Chroniques de Téhéran,"7,4",541,['Drame'],"['Persan', 'Anglais']",['Iran'],1h 17min,0,2023,['No Popularity Score'],Ali Asgari,Ali Asgari,"['Ali Asgari', 'Alireza Khatami', 'Ali Asgari']","['Bahram Ark', 'Ali Asgari', 'Sadaf Asgari', 'Ardeshir Kazemi', 'Alireza Khatami', 'Gohar Kheirandish', 'Farzin Mohades', 'Faezeh Rad', 'Majid Salehi', 'Arghavan Shabani', 'Hossein Soleimani', 'Sarvin Zabetian']",['No budget']
